Dataset,Model Size,Macro Comprehensiveness,Macro IOU
MNLI,xsmall,0.785 (+- 0.022),-
MNLI,small,0.817 (+- 0.022),-
MNLI,base,0.796 (+- 0.027),-
MNLI,large,0.823 (+- 0.027),-
e-SNLI,xsmall,0.726 (+- 0.022),0.282 (+- 0.017)
e-SNLI,small,0.724 (+- 0.026),0.259 (+- 0.016)
e-SNLI,base,0.764 (+- 0.025),0.254 (+- 0.016)
e-SNLI,large,0.778 (+- 0.025),0.256 (+- 0.017)
CoS-e,xsmall,0.304 (+- 0.018),0.233 (+- 0.013)
CoS-e,small,0.316 (+- 0.019),0.231 (+- 0.014)
CoS-e,base,0.356 (+- 0.02),0.235 (+- 0.012)
CoS-e,large,0.391 (+- 0.022),0.23 (+- 0.012)
